"","X","DAY","MONTH","YEAR","LATITUDE.x","LONGITUDE.x","Depth","Magnitude","Magnitude.Type","FLAG_TSUNAMI","INTENSITY","COUNTRY","LOCATION_NAME","DEATHS","INJURIES","DAMAGE_MILLIONS_DOLLARS","HOUSES_DESTROYED","HOUSES_DAMAGED","TOTAL_MISSING","PeopleAffected","PropertyDamanged"
"730",730,23,1,2005,-1.198,119.933,11,6.3,"MWC",0,7,"INDONESIA","INDONESIA:  SULAWESI:  PALU",1,4,796,300,6615,1,6,6915
"731",731,23,10,1968,-3.33,143.286,15,7,"MW",0,7,"PAPUA NEW GUINEA","PAPUA NEW GUINEA:  N COAST, WEWAK, DAGUA",5,230,1,1700,875,200,435,2575
"732",732,23,10,1995,26.003,102.227,10,6.2,"MW",0,9,"CHINA","CHINA:  YUNNAN PROVINCE:  WUDING",81,800,80,200,200,28,909,400
"733",733,23,10,2002,63.514,-147.912,4.2,6.7,"MWC",0,8,"USA","ALASKA:  CANTWELL, DENALI NATL PARK",5300,1,0.6,60000,2000,700,6001,62000
"734",734,23,10,2004,37.226,138.779,16,6.6,"MWC",0,10,"JAPAN","JAPAN:  HONSHU:  NIIGATA PREFECTURE",40,3183,28000,6000,127,11,3234,6127
"735",735,23,10,2011,38.721,43.508,18,7.1,"MWW",0,8,"TURKEY","TURKEY:  ERCIS, VAN",604,2608,1500,5739,4882,1,3213,10621
"736",736,23,11,1977,-31.028,-67.767,13,7.4,"MS",0,9,"ARGENTINA","ARGENTINA:  SAN JUAN PROVINCE:  MENDOZA",70,300,80,500,10044,200,570,10544
"737",737,23,11,1979,4.805,-76.217,108,6.4,"MB",0,7,"COLOMBIA","COLOMBIA:  MANIZALES-ARMENIA",72,600,20,35,7,70,742,42
"738",738,23,11,1980,40.914,15.366,10,6.9,"MS",0,10,"ITALY","ITALY:   AVELLINO, POTENZA, CASERTA, NAPLES",4689,7700,20000,2992,127,17,12406,3119
"739",739,23,12,1972,12.184,-86.223,10,6.3,"MW",0,8,"NICARAGUA","NICARAGUA:  MANAGUA",10000,20000,2968,13380,100,17,30017,13480
